,complexTypeName,complexType,complexName,complexNo,totalHouseHoldCount,totalDongCount,useApproveYmd,minArea,maxArea,minPrice,maxPrice,minLeasePrice,maxLeasePrice,leasePerDealRate,isaleDealRestrictionCode,rebuildMembershipTransYn,livingResidenceYn,latitude,longitude
0,아파트,A01,에피소드1(도시형),110062,72,1,20140709,33.95,33.95,20500,23000,0,0,0.0,N,N,N,37.548772,127.068164
0,아파트,A01,일성파크,3186,357,2,19960309,94.03,180.13,69000,99000,45000,50000,0.0,N,N,N,37.551491,127.072442
0,아파트,A01,현대,9149,18,1,19930723,129.07,145.8,95000,95000,0,0,0.0,N,N,N,37.551966,127.072153
0,아파트,A01,호동,13009,36,2,20021018,79.45,98.13,83000,83000,0,0,0.0,N,N,N,37.551324,127.070757
0,아파트,A01,홀가하우스(도시형),114591,19,1,20161118,34.51,35.45,0,0,0,0,0.0,N,N,N,37.558075,127.073404
0,아파트,A01,홍익봄마을,24673,28,2,20040714,96.89,97.04,0,0,0,0,0.0,N,N,N,37.549797,127.070188
0,아파트,A01,그린,120099,12,1,20040629,45.96,96.19,70000,70000,0,0,0.0,N,N,N,37.553943,127.078342
0,아파트,A01,대공원하이츠,120743,9,1,20010616,81.54,133.56,0,0,0,0,0.0,N,N,N,37.554213,127.085251
0,아파트,A01,동산(주상복합),152452,2,1,20041231,97.88,219.83,0,0,0,0,0.0,N,N,N,37.553849,127.078033
0,아파트,A01,베아투스(도시형),122575,18,1,20170926,22.11,33.61,0,0,0,0,0.0,N,N,N,37.556017,127.080804
0,아파트,A01,세리빌(도시형),148087,18,1,20180103,20.44,85.61,0,0,0,0,0.0,N,N,N,37.555679,127.079963
0,아파트,A01,옥현하이브빌(도시형),150990,12,1,20160923,41.42,57.55,0,0,0,0,0.0,N,N,N,37.552695,127.086926
0,아파트,A01,유호그라시아(도시형),145332,20,1,20211126,18.33,49.89,59500,59900,0,0,0.0,N,N,N,37.553304,127.085199
0,아파트,A01,이듬빌(도시형),148807,16,1,20211207,27.17,124.31,0,0,0,0,0.0,N,N,N,37.554547,127.084458
0,아파트,A01,힐탑(도시형),127564,10,1,20120808,26.9,56.92,0,0,0,0,0.0,N,N,N,37.553711,127.07856
0,아파트,A01,16에스티뷰(주상복합),130473,7,1,20190122,35.02,74.06,0,0,0,0,0.0,N,N,N,37.536164,127.084932
0,아파트,A01,Y-PARK2차(도시형),143171,22,1,20210622,20.27,62.24,0,0,22000,22000,0.0,N,N,N,37.536093,127.084596
0,아파트,A01,YM프라젠스파(주상복합),13819,75,1,20051118,67.64,161.87,73000,85000,85000,85000,0.0,N,N,N,37.530966,127.084123
0,아파트,A01,강변아이파크,13256,83,1,20061221,113.97,114.06,180000,180000,0,0,0.0,N,N,N,37.5312,127.06955
0,아파트,A01,결(도시형),130410,14,1,20200403,19.45,41.87,0,0,0,0,0.0,N,N,N,37.536072,127.084419
0,아파트,A01,경남,2989,232,2,19990601,84.58,142.2,80000,160000,37000,75000,0.0,N,N,N,37.52891,127.07877
0,아파트,A01,경남아너스빌,1058,150,1,19970524,85.95,113.64,80000,125000,0,0,0.0,N,N,N,37.529461,127.084164
0,아파트,A01,광진트라팰리스(주상복합),14607,204,2,20060721,103.26,206.05,160000,280000,120000,180000,0.0,N,N,N,37.531874,127.067774
0,아파트,A01,광진하나플러스,26067,43,1,20050729,100.15,205.96,140000,140000,57000,57000,0.0,N,N,N,37.52948,127.07575
0,아파트,A01,광진하우스토리한강,26652,82,2,20080911,175.36,265.6,170000,242000,100000,160000,0.0,N,N,N,37.52999,127.08985
0,아파트,A01,광진한화꿈에그린,18553,116,2,20060530,106.17,172.91,180000,240000,80000,130000,0.0,N,N,N,37.53362,127.06189
