,complexNo,complexName,cortarNo,realEstateTypeCode,realEstateTypeName,detailAddress,latitude,longitude,totalHouseholdCount,totalBuildingCount,highFloor,lowFloor,useApproveYmd,dealCount,leaseCount,rentCount,shortTermRentCount,cortarAddress,gu_cortarNo,gu_cortarName,dong_cartarName
2,8431,거평프리젠,1168010800,APT,아파트,196,37.506376,127.027679,113.0,1.0,11.0,7.0,19960903,7.0,5.0,2.0,2.0,서울시 강남구 논현동,1168000000,강남구,논현동
3,1332,경남논현,1168010800,APT,아파트,274,37.51065,127.038175,60.0,1.0,8.0,6.0,19960909,4.0,1.0,1.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
4,105408,골든캐슬,1168010800,APT,아파트,103-11,37.519667,127.03883,7.0,1.0,7.0,7.0,20090824,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
5,26196,그랑디오스,1168010800,APT,아파트,268-12,37.511248,127.042796,15.0,1.0,6.0,5.0,20040917,0.0,0.0,1.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
6,136172,기린힐스(도시형),1168010800,APT,아파트,130-9,37.512999,127.030891,249.0,1.0,15.0,15.0,20201030,0.0,0.0,2.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
7,144406,꿈꾸지오(도시형),1168010800,APT,아파트,269-1,37.511581,127.041822,28.0,2.0,5.0,3.0,20190306,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
8,14671,논현e-편한세상,1168010800,APT,아파트,195-1,37.506748,127.029156,63.0,1.0,11.0,10.0,20050720,7.0,0.0,1.0,1.0,서울시 강남구 논현동,1168000000,강남구,논현동
9,104277,논현대우멤버스카운티,1168010800,APT,아파트,30-2,37.516721,127.027782,19.0,1.0,4.0,3.0,20041201,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
10,138264,논현더라움,1168010800,APT,아파트,242-45,37.515216,127.041199,16.0,1.0,7.0,7.0,20190320,1.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
11,8936,논현동부센트레빌,1168010800,APT,아파트,275,37.51035,127.037717,160.0,4.0,23.0,11.0,20031224,11.0,10.0,2.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
12,8971,논현동양파라곤,1168010800,APT,아파트,245,37.514851,127.038281,203.0,4.0,16.0,9.0,20040602,4.0,1.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
13,9765,논현두산위브1단지,1168010800,APT,아파트,252-1,37.513536,127.038366,130.0,2.0,14.0,5.0,20040630,7.0,0.0,7.0,1.0,서울시 강남구 논현동,1168000000,강남구,논현동
14,101321,논현두산위브2단지,1168010800,APT,아파트,258,37.51257,127.038141,136.0,2.0,14.0,4.0,20040630,9.0,4.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
15,106971,논현라폴리움,1168010800,APT,아파트,252,37.514108,127.038845,18.0,1.0,10.0,9.0,20120831,2.0,1.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
16,108089,논현멤버스카운티,1168010800,APT,아파트,24,37.514187,127.023268,11.0,1.0,4.0,4.0,20031017,1.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
17,10727,논현베르빌,1168010800,APT,아파트,214-2,37.512671,127.032812,65.0,1.0,10.0,5.0,20021227,4.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
18,102760,논현브라운스톤로얄스위트,1168010800,APT,아파트,43-3,37.513295,127.024298,19.0,1.0,6.0,4.0,20050322,0.0,0.0,2.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
19,127488,논현빌라트,1168010800,APT,아파트,102-9,37.519248,127.039963,10.0,1.0,5.0,5.0,19990817,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
20,18,논현신동아파밀리에,1168010800,APT,아파트,22,37.514887,127.022874,644.0,6.0,13.0,9.0,19970704,28.0,8.0,14.0,2.0,서울시 강남구 논현동,1168000000,강남구,논현동
21,121973,논현아이파크(주상복합),1168010800,APT,아파트,225-6,37.510439,127.036096,99.0,1.0,19.0,11.0,20200828,11.0,2.0,3.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
22,121579,논현아테나니케,1168010800,APT,아파트,28-17,37.515026,127.026998,12.0,1.0,4.0,4.0,20041126,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
23,13165,논현아트빌,1168010800,APT,아파트,215-14,37.512423,127.032238,11.0,1.0,6.0,5.0,20030501,2.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
24,26416,논현아펠바움1차,1168010800,APT,아파트,250,37.513417,127.037033,38.0,4.0,4.0,3.0,20071214,2.0,2.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
25,103939,논현아펠바움2차,1168010800,APT,아파트,260,37.512642,127.036941,38.0,3.0,4.0,3.0,20110901,9.0,0.0,2.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
26,22828,논현월드메르디앙,1168010800,APT,아파트,212-13,37.51359,127.033897,82.0,1.0,12.0,7.0,20070222,1.0,1.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
27,27822,논현웰스톤(주상복합),1168010800,APT,아파트,108,37.518399,127.03801,38.0,1.0,8.0,8.0,20090316,5.0,2.0,0.0,2.0,서울시 강남구 논현동,1168000000,강남구,논현동
28,109991,논현테크노빌,1168010800,APT,아파트,266-21,37.512167,127.041675,10.0,2.0,3.0,2.0,20030704,1.0,1.0,1.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
29,137945,논현파크빌(도시형),1168010800,APT,아파트,122-17,37.510615,127.023885,27.0,1.0,5.0,4.0,20130419,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
30,126259,"논현팰리스(민간임대,도시형)",1168010800,APT,아파트,187-7,37.507057,127.028169,39.0,2.0,6.0,6.0,20190603,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
31,138046,논현펜트힐캐스케이드(도시형),1168010800,APT,아파트,106,37.518148,127.035771,130.0,1.0,18.0,11.0,20230228,20.0,20.0,28.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
32,100691,논현프라임(192-3),1168010800,APT,아파트,192-3,37.508157,127.032836,19.0,1.0,7.0,6.0,20041006,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
33,9618,논현한가람,1168010800,APT,아파트,105-3,37.51872,127.03742,32.0,1.0,8.0,8.0,20021021,3.0,2.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
34,11616,논현한진로즈힐,1168010800,APT,아파트,105-4,37.520834,127.037141,81.0,2.0,9.0,7.0,20040527,8.0,1.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
35,18195,논현한화꿈에그린,1168010800,APT,아파트,205-2,37.50705,127.030837,70.0,2.0,11.0,5.0,20050503,5.0,6.0,4.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
